model_one,model_two,model_three
1945.516593060784,1945.516593060784,2196.3555010284404
1365.7967698142359,1365.7967698142359,1728.077475301575
1384.0448407425843,1384.0448407425843,1743.2541002159464
1535.2784338328713,1535.2784338328713,1651.7997282299793
2313.043000718621,2313.043000718621,2380.5024371540367
1632.614954999803,1632.614954999803,1611.8949357256088
1602.3895821108943,1686.1246398900498,2003.0287928412167
1360.5879108128042,1399.842152417057,1667.4560252288911
1287.5050990841694,1417.9459735367902,1640.4895231803819
1288.458183280758,1433.456938602558,1595.9620112060181
